player 1,player 2,winner,winner points,Total_points,depth
"{'apertura': {'corner': 0.5989, 'mob': 0.7565, 'stable': 0.4328, 'parity': 0.2487, 'pos': 0.3684}, 'medio': {'corner': 0.3217, 'mob': 0.3878, 'stable': 0.2342, 'parity': 0.5403, 'pos': 0.2235}, 'final': {'corner': 0.4291, 'mob': 0.3835, 'stable': 0.5632, 'parity': 0.8662, 'pos': 0.4245}}",minimax,"{'apertura': {'corner': 0.5989, 'mob': 0.7565, 'stable': 0.4328, 'parity': 0.2487, 'pos': 0.3684}, 'medio': {'corner': 0.3217, 'mob': 0.3878, 'stable': 0.2342, 'parity': 0.5403, 'pos': 0.2235}, 'final': {'corner': 0.4291, 'mob': 0.3835, 'stable': 0.5632, 'parity': 0.8662, 'pos': 0.4245}}",40,64,61
"{'apertura': {'corner': 0.3728, 'mob': 0.257, 'stable': 0.7735, 'parity': 0.8078, 'pos': 0.2963}, 'medio': {'corner': 0.4561, 'mob': 0.6342206222522158, 'stable': 0.4433, 'parity': 0.4901, 'pos': 0.3883}, 'final': {'corner': 0.2843, 'mob': 0.3201, 'stable': 0.3539, 'parity': 0.3554, 'pos': 0.1297}}",minimax,minimax,44,64,60
"{'apertura': {'corner': 0.9201, 'mob': 0.4212, 'stable': 0.8909, 'parity': 0.0748, 'pos': 0.7016}, 'medio': {'corner': 0.7925, 'mob': 0.3844, 'stable': 0.2203, 'parity': 0.8392, 'pos': 0.0818}, 'final': {'corner': 0.968, 'mob': 0.211, 'stable': 0.625, 'parity': 0.733, 'pos': 0.6454}}",minimax,minimax,45,45,44
"{'apertura': {'corner': 0.377, 'mob': 0.25277230030480874, 'stable': 0.5941, 'parity': 0.8028, 'pos': 0.365}, 'medio': {'corner': 0.5344, 'mob': 0.557, 'stable': 0.5677, 'parity': 0.617, 'pos': 0.4809}, 'final': {'corner': 0.4573, 'mob': 0.3461, 'stable': 0.7789, 'parity': 0.5305, 'pos': 0.3085}}",minimax,minimax,48,60,61
"{'apertura': {'corner': 0.5989, 'mob': 0.7565, 'stable': 0.4328, 'parity': 0.2487, 'pos': 0.3684}, 'medio': {'corner': 0.3217, 'mob': 0.3878, 'stable': 0.2342, 'parity': 0.5403, 'pos': 0.2235}, 'final': {'corner': 0.4291, 'mob': 0.3835, 'stable': 0.5632, 'parity': 0.8662, 'pos': 0.4245}}",minimax,minimax,49,63,60
"{'apertura': {'corner': 0.6655, 'mob': 0.6419, 'stable': 0.8611, 'parity': 0.2509, 'pos': 0.5558}, 'medio': {'corner': 0.5804, 'mob': 0.4182, 'stable': 0.2435, 'parity': 0.5986, 'pos': 0.1507}, 'final': {'corner': 0.5422, 'mob': 0.3149, 'stable': 0.5883, 'parity': 0.8569, 'pos': 0.4653}}",minimax,minimax,47,64,60
"{'apertura': {'corner': 0.4854, 'mob': 0.4277, 'stable': 0.5658, 'parity': 0.5669, 'pos': 0.6744}, 'medio': {'corner': 0.3061, 'mob': 0.4751, 'stable': 0.1239, 'parity': 0.5672, 'pos': 0.7252}, 'final': {'corner': 0.2781, 'mob': 0.7077, 'stable': 0.6492, 'parity': 0.7528, 'pos': 0.606}}",minimax,minimax,40,61,63
"{'apertura': {'corner': 0.4777, 'mob': 0.4223, 'stable': 0.7605, 'parity': 0.1012, 'pos': 0.9712}, 'medio': {'corner': 0.9442, 'mob': 0.3421, 'stable': 0.7304, 'parity': 0.3253, 'pos': 0.7957}, 'final': {'corner': 0.0276, 'mob': 0.5485, 'stable': 0.3063, 'parity': 0.1678, 'pos': 0.9407}}",minimax,minimax,40,64,60
"{'apertura': {'corner': 0.3328, 'mob': 0.4995, 'stable': 0.5164, 'parity': 0.6869, 'pos': 0.5807}, 'medio': {'corner': 0.6111, 'mob': 0.5469, 'stable': 0.4612, 'parity': 0.6755, 'pos': 0.3257}, 'final': {'corner': 0.4704, 'mob': 0.2619, 'stable': 0.7578, 'parity': 0.954, 'pos': 0.1465}}",minimax,minimax,37,64,63
"{'apertura': {'corner': 0.6241, 'mob': 0.7561, 'stable': 0.444, 'parity': 0.6488, 'pos': 0.5459}, 'medio': {'corner': 0.4501, 'mob': 0.5202, 'stable': 0.6873, 'parity': 0.3624, 'pos': 0.5672}, 'final': {'corner': 0.6866, 'mob': 0.46, 'stable': 0.6771, 'parity': 0.6079, 'pos': 0.6259}}",minimax,minimax,44,63,59
